Date,AU_AUD/USD,AU_CNY/AUD,AU_IDR/AUD,IN_IDR/USD,US_AUD/USD,US_CNY/USD
2018-09-30 00:00:00+10:00,0.7222,4.9708,10757,14905,0.7238,6.868
2018-10-31 00:00:00+11:00,0.7085,4.936,10787,15227,0.709,6.9737
2018-11-30 00:00:00+11:00,0.7316,5.0797,10466,14339,0.7311,6.9558
2018-12-31 00:00:00+11:00,0.7058,4.8548,10212,14481,0.7046,6.8755
2019-01-31 00:00:00+11:00,0.7268,4.8698,10168,14072,0.7282,6.6958
2019-02-28 00:00:00+11:00,0.7146,4.7745,10054,14062,0.7099,6.6912
2019-03-31 00:00:00+11:00,0.7087,4.7659,10090,14231,0.7104,6.7112
2019-04-30 00:00:00+10:00,0.7039,4.7442,10013,14215,0.704,6.7347
2019-05-31 00:00:00+10:00,0.6916,4.7769,9945,14385,0.693,6.9027
2019-06-30 00:00:00+10:00,0.7013,4.8181,9911,14117,0.7009,6.865
2019-07-31 00:00:00+10:00,0.6894,4.7452,9658,14026,0.6888,6.8833
2019-08-31 00:00:00+10:00,0.6718,4.8029,9555,14190,0.673,7.1543
2019-09-30 00:00:00+10:00,0.6749,4.8086,9567,14174,0.6746,7.1477
2019-10-31 00:00:00+11:00,0.6926,4.8753,9705,14008,0.6888,7.0379
2019-11-30 00:00:00+11:00,0.6777,4.766,9562,14122,0.6762,7.0308
2019-12-31 00:00:00+11:00,0.7006,4.8876,9719,13901,0.703,6.9618
2020-01-31 00:00:00+11:00,0.6724,4.6682,9182,13662,0.6699,6.9161
2020-02-29 00:00:00+11:00,0.6524,4.5742,9264,14413,0.6495,6.9906
2020-03-31 00:00:00+11:00,0.6175,4.377,10098,16367,0.6139,7.0808
2020-04-30 00:00:00+10:00,0.6566,4.6299,9803,15157,0.6523,7.0622
2020-05-31 00:00:00+10:00,0.6659,4.7587,9779,14502,0.6642,7.1348
2020-06-30 00:00:00+10:00,0.6863,4.8523,9773,14302,0.6893,7.0651
2020-07-31 00:00:00+10:00,0.7213,5.0409,10531,14713,0.7159,6.9744
2020-08-31 00:00:00+10:00,0.7354,5.0389,10704,14554,0.7388,6.8474
2020-09-30 00:00:00+10:00,0.7108,4.8425,10584,14918,0.716,6.7896
2020-10-31 00:00:00+11:00,0.7044,4.708,10302,14718,0.7023,6.6919
2020-11-30 00:00:00+11:00,0.7393,4.868,10412,14128,0.7351,6.576
2020-12-31 00:00:00+11:00,0.7702,5.0298,10821,13903,0.7709,6.525
2021-01-31 00:00:00+11:00,0.7645,4.9405,10744,14042,0.7661,6.4282
2021-02-28 00:00:00+11:00,0.7829,5.0665,11156,14300,0.772,6.473
2021-03-31 00:00:00+11:00,0.7602,4.9895,11075,14572,0.7613,6.5518
2021-04-30 00:00:00+10:00,0.7776,5.0314,11240,14453,0.7716,6.4749
2021-05-31 00:00:00+10:00,0.7725,4.9214,11038,14292,0.7706,6.3674
2021-06-30 00:00:00+10:00,0.7518,4.8553,10927,14542,0.7496,6.4566
2021-07-31 00:00:00+10:00,0.7381,4.771,10675,14456,0.7351,6.4609
2021-08-31 00:00:00+10:00,0.7335,4.7417,10473,14306,0.7307,6.4604
2021-09-30 00:00:00+10:00,0.7206,4.6616,10318,14321,0.7228,6.4434
2021-10-31 00:00:00+11:00,0.7546,4.8226,10691,14235,0.751,6.405
2021-11-30 00:00:00+11:00,0.7144,4.5519,10227,14320,0.7088,6.364
2021-12-31 00:00:00+11:00,0.7256,4.625,10359,14278,0.726,6.3726
2022-01-31 00:00:00+11:00,0.7011,4.4598,10094,14392,0.7064,6.361
2022-02-28 00:00:00+11:00,0.7182,4.5329,10318,14350,0.7261,6.3084
2022-03-31 00:00:00+11:00,0.7482,4.7506,10743,14357,0.7499,6.3393
2022-04-30 00:00:00+10:00,0.7148,4.7308,10362,14534,0.7101,6.608
2022-05-31 00:00:00+10:00,0.7187,4.7873,10488,14592,0.7188,6.6715
2022-06-30 00:00:00+10:00,0.6889,4.6122,10253,14882,0.6905,6.6981
2022-07-31 00:00:00+10:00,0.7007,4.7252,10405,14874,0.6985,6.7433
2022-08-31 00:00:00+10:00,0.6902,4.7571,10245,14853,0.6866,6.889
2022-09-30 00:00:00+10:00,0.6502,4.608,9903,15232,0.6437,7.1135
2022-10-31 00:00:00+11:00,0.642,4.6649,10013,15596,0.6394,7.3048
2022-11-30 00:00:00+11:00,0.6698,4.7835,10541,15742,0.6717,7.0879
2022-12-31 00:00:00+11:00,0.6775,4.7141,10555,15572,0.6805,6.8972
2023-01-31 00:00:00+11:00,0.7037,4.7547,10542,14992,0.705,6.754
2023-02-28 00:00:00+11:00,0.673,4.669,10257,15240,0.6744,6.9325
